[ 2026-06-17 00:43:14,092] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2026-06-17 00:43:14,093] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2026-06-17 00:43:15,283] 17 root - INFO - Initiate the data ingestion
[ 2026-06-17 00:43:21,595] 69 root - INFO - Performed train test split on the dataframe
[ 2026-06-17 00:43:21,595] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-17 00:43:21,595] 79 root - INFO - Exporting train and test file path.
[ 2026-06-17 00:43:21,672] 88 root - INFO - Exported train and test file path.
[ 2026-06-17 00:43:21,673] 19 root - INFO - data ingestion initiation completed
[ 2026-06-17 00:43:21,676] 23 root - INFO - Initiate the data validation
[ 2026-06-17 00:43:21,783] 34 root - INFO - Required number of columns:2
[ 2026-06-17 00:43:21,783] 35 root - INFO - Data frame has columns:31
[ 2026-06-17 00:43:21,783] 34 root - INFO - Required number of columns:2
[ 2026-06-17 00:43:21,783] 35 root - INFO - Data frame has columns:31
[ 2026-06-17 00:43:21,946] 25 root - INFO - data validation completed
